Area,Sub Area,"Location
(building; room; etc)",Booth/Bezel,Roles that can staff area?,Booth Description - What's being demonstrated here?  Employees use these descriptions to asses if they should volunteer to staff it
a0m30000003R5Gc,App Cloud,Moscone North,Identity Services ,Sales Engineer,"You must be a Sales Engineer - Platform SE to staff this booth
You use identity every day - you will easily be able to demo our Single Sign-on and 2 factor authentication. Booth include apple watch for quick access to your security code!"
a0m30000003R5Gc,App Cloud,Moscone North,AppExchange Apps,Partner Team,Canonical Appexchange demo with 3-4 apps installed telling a cohesive and compelling story for companies to transform their business
a0m30000003R5Gc,App Cloud,Moscone North,AppExchange Expert,Partner Team,Be able to prescribe an appropriate app to a customer based off of their business requirements
a0m30000003R5Gc,App Cloud,Moscone North,Trailhead ,Sales Engineer,"You must be a Sales Engineer - Platform SE to staff this booth
Pitch the value of Trailhead! Trailhead is the fun and free way for anyone to learn Salesforce. Earn points and badges through interactive, hands-on developer and admin training courses."
a0m30000003R5Gc,App Cloud,Moscone North,Agile Accelerator,Sales Engineer,"You must be a Sales Engineer - Platform SE to staff this booth
Demonstrate on customers can take even more advantage in their investment in salesforce by using this app to manage agile application development. Strong understanding of agile methologies, sprints, backlogs and Kanbans"
a0m30000003R5Gc,App Cloud,Moscone North,Lightning Desktop ,Sales Engineer,"You must be a Sales Engineer - Platform SE to staff this booth
Demonstrate the new Lightning Desktop exerience by adding custom components to standard objects. "
a0m30000003R5Gc,App Cloud,Moscone North,Lightning Design System,Sales Engineer,"You must be a Sales Engineer - Platform SE to staff this booth
Introduce the concept of the Lightning Design System, which are best practices and principles for building apps on the Salesforce Platform. Fun and easy custom tic-tac-toe game with the new Salesforce Design styling applied."
a0m30000003R5Gc,App Cloud,Moscone North,Lightning App Builder,Sales Engineer,"You must be a Sales Engineer - Platform SE to staff this booth
Build mobile apps for any department with Lightning Components in the Lightning App Builder"
a0m30000003R5Gc,App Cloud,Moscone North,Lightning Process Builder,Sales Engineer,"You must be a Sales Engineer - Platform SE to staff this booth
Demonstrate the power of Process Builder - Share tips and tricks to automate any business process on the Salesforce Platform"
a0m30000003R5Gc,App Cloud,Moscone North,Heroku Enterprise,Sales Engineer; Heroku,"You must be a Sales Engineer - Platform SE, or Heroku to staff this booth
Complete Heroku Overview: Scalability, Elements, Connect, Engagement, Team Management and VPC"
a0m30000003R5Gc,App Cloud,Moscone North,Heroku Customer Apps Showcase,Sales Engineer; Heroku,"You must be a Sales Engineer - Platform SE, or Heroku to staff this booth
Showcase a wide varity of customer facing apps built on Heroku that establish brand credibility. "
a0m30000003R5Gc,App Cloud,Moscone North,Heroku Connect,Sales Engineer; Heroku,"You must be a Sales Engineer - Platform SE, or Heroku to staff this booth.
Demonstrate the ease of configuring and integrating data from customer facing applications to force.com. Show off the power of two robust platforms working together for richer customer profiles"
a0m30000003R5Gc,App Cloud,Moscone North,Mobile SDK,Sales Engineer,"You must be a Sales Engineer or Platform SE to staff this booth
For those customer that have mobile requirements not met with either Salesforce1 Mobile or Heroku, introduce our mobile software development kit for custom offline mobile applications built on force.com"
a0m30000003R5Gc,App Cloud,Moscone North,Lightning App Theater,Sales Engineer,"You must be a Sales Engineer - Platform SE to staff this booth
Guide attendees through dragging and dropping to build their first mobile app on a 90"" multiouch interative wall. Bring to life how fun and easy it is to build apps."
a0m30000003R5Gc,IoT Cloud,Moscone North,IoT Cloud Theater,Sales Engineer,"You must be a Sales Engineer - Platform SE to staff this booth
You will be the PRESENTER for this mini theater presentation to introduce our latest cloud offering. A product marketer with be there help guide the presentation or answer any questions"
a0m30000003R5Gc,IoT Cloud,Moscone North,IoT Cloud Theater,Sales Engineer,"You must be a Sales Engineer - Platform SE to staff this booth
You will be the DEMO DRIVER for this mini theater presentation to introduce our latest cloud offering. A product marketer with be there help guide the presentation or answer any questions"
a0m30000003R5Gc,IoT Cloud,Moscone North,Xbox IoT Demo,Sales Engineer,"You must be a Sales Engineer - Platform SE to staff this booth
End-to-End IoT Cloud Product Lauch Demo"
a0m30000003R5Gc,IoT Cloud,Moscone North,Thermostat IoT Demo,Sales Engineer,"You must be a Sales Engineer - Platform SE to staff this booth
End-to-End IoT Cloud Product Lauch Demo"
a0m30000003R5Gc,IoT Cloud,Moscone North,IoT Cloud Floater,Sales Engineer,"You must be a Sales Engineer - Platform SE to staff this booth
Oversee that attendees are interacting with the Larger than Life Devices such as a Lightbulb, Toothbrush, and Wind Turbine, help answer questions, and reset the demos on the devices"
a0m30000003R5Gc,IoT Cloud,Moscone North,IoT Cloud Floater,Sales Engineer,"You must be a Sales Engineer - Platform SE to staff this booth
Oversee that attendees are interacting with the Larger than Life Devices such as a Lightbulb, Toothbrush, and Wind Turbine, help answer questions, and reset the demos on the devices"
a0m30000003R5Gc,Success Services,Moscone North,Photo Opp ,CSG,Encourage Customers to Participate in #Success Contest & Direct to Experiences based on Customers Needs
a0m30000003R5Gc,Success Services,Moscone North,Integration with Clouds,CSG,"Staff Cloud Area: Interact with Customers on Cloud Specific Q&A, Demos and Share How Success Services can assist.  Provide information on Success Services Portfolio.
You must be Program Architects; Strategic Service / Practice Specialists, Acclerator Specialists and Regional Delivery Team,Success Managers and SFU to staff this booth"
a0m30000003R5Gc,Success Services,Moscone North,Expert Bar (RHS) - Expert 1:1 Consultations,CSG,"Guests can schedule 1:1 Consultations for 15mins
Booth is for  Program Architects; Strategic Service / Practice Specialists, Acclerator Specialists and Regional Delivery Team,Success Managers and SFU "
a0m30000003R5Gc,App Cloud,Moscone North,Apps Workshop,SR/BDR,WORKSHOP ASSISTANT
a0m30000003R5Gc,App Cloud,Moscone North,Apps Workshop,Account Executive/Co-Prime,WORKSHOP PRESENTER
a0m30000003R5Gc,App Cloud,Moscone North,Apps Workshop,Sales Engineer,DEMO DRIVER
a0m30000003R5Gc,App Cloud,Moscone North,Apps Workshop,SR/BDR,SCANNER
a0m30000003R5Gc,App Cloud,Moscone North,Apps Workshop,Marketing,Shift Leader - Platform Product Marketer in charge of helping Platform AE's and SE's get set up for their demos as well as resetting the demos.
